City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Dwarka,IN,81.1,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
399,Saint Simons,US,80.02,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
406,Abu Dhabi,AE,86.02,overcast clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
408,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
409,Kirakira,SB,83.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
412,Kota Bahru,MY,80.6,few clouds,6.1333,102.2386,Grand Riverview Hotel
414,Daru,PG,83.17,broken clouds,-9.0763,143.2092,Daru Lodge
416,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
418,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
422,Piacabucu,BR,75.85,clear sky,-10.4056,-36.4344,Piaçabuçu News
426,Meulaboh,ID,81.27,overcast clouds,4.1363,96.1285,Kost Pria
434,Parambu,BR,81.75,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
436,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
442,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
444,Renala Khurd,PK,86.31,clear sky,30.8833,73.6,ch usman munir home
446,Ocos,GT,82.31,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
447,Qiongshan,CN,85.98,few clouds,20.0058,110.3542,Sun City Restaurant
448,Namatanai,PG,84.45,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
454,Gorontalo,ID,86.67,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
456,Black River,JM,80.6,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
458,Campeche,MX,81.43,overcast clouds,19.0,-90.5,
460,Port Blair,IN,82.65,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
468,Itoman,JP,86.77,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
473,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
476,Bengbu,CN,85.35,light rain,32.9408,117.3608,Howard Johnson Nanshan Plaza
478,Rantepao,ID,82.74,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
