City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Ivybridge,GB,50.3904,-3.9191,56.34,75,100,14.88,overcast clouds
122,Gidole,ET,5.65,37.3667,56.5,92,100,2.89,moderate rain
123,Namibe,AO,-15.1961,12.1522,60.24,85,0,3.47,clear sky
124,Jamestown,US,42.097,-79.2353,56.71,89,1,3.44,clear sky
125,Boddam,GB,57.4667,-1.7833,48.58,74,73,22.21,broken clouds
126,Uyuni,BO,-20.4597,-66.825,52.27,16,3,6.17,clear sky
127,Glendive,US,47.1053,-104.7125,60.17,35,1,8.05,clear sky
128,Wuda,CN,39.4994,106.7117,70.16,19,0,5.66,clear sky
129,Bonfim,BR,3.0833,-59.95,79.39,73,74,1.63,broken clouds
130,Port Elizabeth,ZA,-33.918,25.5701,56.1,88,74,15.68,light rain
131,Najran,SA,17.4924,44.1277,72.25,35,98,2.53,overcast clouds
132,Puerto Ayora,EC,-0.7393,-90.3518,69.24,91,87,7.56,overcast clouds
133,Port Hueneme,US,34.1478,-119.1951,85.12,76,1,6.91,clear sky
134,Krasnoselkup,RU,65.7,82.4667,31.42,98,100,8.75,overcast clouds
135,Ribeira Grande,PT,38.5167,-28.7,71.69,90,24,10.02,few clouds
136,Shubarkuduk,KZ,49.1447,56.4872,39.97,66,14,5.32,few clouds
137,Maues,BR,-3.3836,-57.7186,76.17,90,97,2.17,overcast clouds
138,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,21.85,scattered clouds
139,Stykkisholmur,IS,65.0757,-22.7297,41.63,96,100,22.62,overcast clouds
140,Taoudenni,ML,22.6783,-3.9836,89.64,10,3,9.24,clear sky
141,Kitimat,CA,54.0524,-128.6534,46.9,29,100,5.5,moderate rain
142,Kahului,US,20.8947,-156.47,84.22,67,1,27.63,clear sky
143,Laguna,US,38.421,-121.4238,82.38,32,1,0.0,clear sky
144,Santiago Del Estero,AR,-27.7951,-64.2615,67.91,32,100,7.11,overcast clouds
145,Hongjiang,CN,27.11,109.9956,89.49,51,0,3.36,clear sky
146,Moerai,PF,-22.4333,-151.3333,76.21,78,10,12.01,clear sky
147,Saint-Louis,SN,16.3333,-15.0,86.34,53,33,13.04,scattered clouds
148,Hassleholm,SE,56.1591,13.7664,53.44,80,100,8.39,overcast clouds
149,Gizo,SB,-8.103,156.8419,83.73,69,83,1.88,light rain
150,Fallon,US,39.4735,-118.7774,69.58,16,40,4.61,scattered clouds
151,Escanaba,US,45.7453,-87.0646,70.21,90,1,9.22,clear sky
152,Norman Wells,CA,65.282,-126.8329,48.24,53,40,5.75,scattered clouds
153,Ponta Do Sol,PT,32.6667,-17.1,71.71,80,1,6.15,clear sky
154,Tahe,CN,52.3333,124.7333,42.49,41,13,4.03,few clouds
155,Thinadhoo,MV,0.5333,72.9333,82.53,69,15,7.67,few clouds
156,Devonport,AU,-41.1667,146.35,57.25,93,100,4.79,overcast clouds
157,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,93,90,8.05,light rain
158,Porto Belo,BR,-27.1578,-48.5531,72.16,91,99,6.87,overcast clouds
159,Odweyne,SO,9.4092,45.064,74.41,60,58,7.96,broken clouds
160,Flin Flon,CA,54.7682,-101.865,56.79,50,27,6.17,scattered clouds
161,Hirara,JP,24.8,125.2833,85.86,70,40,9.22,scattered clouds
162,Half Moon Bay,US,37.4636,-122.4286,82.42,63,1,5.75,clear sky
163,Parkes,AU,-33.1333,148.1833,60.64,87,95,10.47,overcast clouds
164,Airai,TL,-8.9266,125.4092,80.04,34,100,1.86,overcast clouds
165,Praia,CV,14.9215,-23.5087,79.34,78,20,13.8,few clouds
166,At-Bashi,KG,41.1702,75.8106,46.71,80,96,1.39,overcast clouds
167,Sur,OM,22.5667,59.5289,86.0,66,100,4.99,overcast clouds
168,Port-Gentil,GA,-0.7193,8.7815,77.16,85,100,9.48,light rain
169,Severo-Kurilsk,RU,50.6789,156.125,51.28,95,100,15.37,overcast clouds
170,Kaitangata,NZ,-46.2817,169.8464,60.93,51,97,8.97,overcast clouds
171,Luanda,AO,-8.8368,13.2343,73.4,83,75,5.75,broken clouds
172,Nikolskoye,RU,59.7035,30.7861,47.39,95,43,4.43,scattered clouds
173,Mar Del Plata,AR,-38.0023,-57.5575,54.12,62,8,4.0,mist
174,Nahariyya,IL,33.0059,35.0941,69.98,88,0,8.21,clear sky
175,Toro,CO,4.6117,-76.0814,72.28,96,86,2.51,overcast clouds
176,Camana,PE,-16.6228,-72.7111,63.48,83,30,9.66,scattered clouds
177,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,11.5,light rain
178,Dayong,CN,25.0209,118.2898,85.89,70,39,3.31,scattered clouds
179,Tiarei,PF,-17.5333,-149.3333,84.22,76,12,19.66,light rain
180,Monroe,US,43.1501,-77.6831,57.34,91,1,5.75,clear sky
181,East London,ZA,-33.0153,27.9116,61.61,85,100,11.52,light rain
182,Nishihara,JP,26.1842,127.7558,86.05,62,20,11.5,few clouds
183,Maragogi,BR,-9.0122,-35.2225,75.0,88,6,6.31,clear sky
184,Pangody,RU,65.85,74.4859,30.61,78,100,17.85,overcast clouds
185,Qaqortoq,GL,60.7167,-46.0333,32.5,49,2,3.98,clear sky
186,Peniche,PT,39.3558,-9.3811,66.61,93,54,8.39,broken clouds
187,Kidal,ML,18.4411,1.4078,84.96,13,70,10.96,broken clouds
188,Xining,CN,36.6167,101.7667,58.59,32,100,3.33,overcast clouds
189,Bonthe,SL,7.5264,-12.505,77.36,88,99,7.96,moderate rain
190,Manyana,BW,-23.4,21.7167,55.38,37,2,11.03,clear sky
191,Klaksvik,FO,62.2266,-6.589,49.12,91,100,15.46,overcast clouds
192,Jati,PK,24.3539,68.2671,81.23,83,59,8.59,broken clouds
193,Sao Filipe,CV,14.8961,-24.4956,79.11,77,17,6.46,few clouds
194,Lebu,CL,-37.6167,-73.65,48.34,77,100,13.51,overcast clouds
195,Tombouctou,ML,20.0,-3.0,88.63,11,88,8.52,overcast clouds
196,Bagdarin,RU,54.4333,113.6,36.9,50,3,2.53,clear sky
197,Oriximina,BR,-1.7656,-55.8661,79.36,77,100,1.61,overcast clouds
198,Tabou,CI,4.423,-7.3528,76.66,89,75,5.77,light rain
199,Dunda,TZ,-8.1167,34.25,63.3,67,45,1.45,scattered clouds
200,Buchanan,LR,5.8808,-10.0467,76.96,90,100,6.55,moderate rain
201,Nouadhibou,MR,20.931,-17.0347,70.18,89,0,15.28,clear sky
202,Hukuntsi,BW,-24.0,21.75,53.8,42,22,10.71,few clouds
203,Tumut,AU,-35.3,148.2167,65.39,92,100,1.3,light rain
204,Cacapava Do Sul,BR,-30.5122,-53.4914,54.46,97,0,4.63,clear sky
205,Cabra,ES,37.4725,-4.4421,72.39,68,88,1.3,overcast clouds
206,Poum,NC,-20.2333,164.0167,74.57,86,98,23.44,light rain
207,Sorland,NO,67.667,12.6934,52.38,82,100,18.72,light rain
208,Caravelas,BR,-17.7125,-39.2481,74.84,80,0,9.15,clear sky
209,Bengkulu,ID,-3.8004,102.2655,81.27,73,100,4.14,overcast clouds
210,Vila,PT,42.0304,-8.1588,54.7,94,98,4.25,overcast clouds
211,Santo Andre,BR,-23.6639,-46.5383,69.13,83,40,3.44,scattered clouds
212,Laurel,US,39.0993,-76.8483,60.1,89,1,0.0,clear sky
213,Macapa,BR,0.0389,-51.0664,85.98,84,75,9.22,broken clouds
214,Marsa Matruh,EG,31.3525,27.2453,73.6,60,40,9.22,scattered clouds
215,Port Hedland,AU,-20.3167,118.5667,84.25,32,24,17.27,few clouds
216,Katsuura,JP,35.1333,140.3,78.91,64,0,4.12,clear sky
217,Nadvoitsy,RU,63.8667,34.3167,44.01,89,100,6.29,overcast clouds
218,Straumen,NO,63.8709,11.2999,61.5,77,95,5.5,overcast clouds
219,Tapes,BR,-30.6733,-51.3958,59.59,90,2,10.4,clear sky
220,Bud,US,39.447,-86.1758,66.33,78,35,6.38,scattered clouds
221,Miri,MY,4.4148,114.0089,78.94,89,40,10.36,scattered clouds
222,Bozdar,PK,27.1828,68.636,80.67,62,24,8.03,few clouds
223,Vengerovo,RU,55.6848,76.7471,33.96,87,98,11.92,overcast clouds
224,Zhigansk,RU,66.7697,123.3711,33.62,58,57,16.93,broken clouds
225,Khatanga,RU,71.9667,102.5,28.26,90,100,3.15,overcast clouds
226,Fortuna,US,40.5982,-124.1573,58.08,70,20,1.01,few clouds
227,Harper,LR,4.375,-7.7169,76.96,88,100,7.09,light rain
228,Bonavista,CA,48.6499,-53.1147,56.12,98,96,13.06,overcast clouds
229,Maniitsoq,GL,65.4167,-52.9,38.64,61,2,4.41,clear sky
230,Porbandar,IN,21.6422,69.6093,78.78,94,40,6.91,fog
231,Sabang,ID,5.8933,95.3214,81.39,73,78,5.3,broken clouds
232,Broome,US,42.2506,-75.833,53.55,76,29,1.88,scattered clouds
233,Savinka,RU,50.0785,47.0994,49.08,52,98,5.21,overcast clouds
234,Ancud,CL,-41.8697,-73.8203,42.33,75,87,17.72,overcast clouds
235,Hofn,IS,64.2539,-15.2082,48.16,81,100,18.59,overcast clouds
236,Gornozavodsk,RU,58.3758,58.3211,33.03,92,99,5.23,overcast clouds
237,Boyolangu,ID,-8.1181,111.8935,82.83,61,100,6.89,overcast clouds
238,Ayr,GB,55.4627,-4.6339,51.51,87,40,11.5,scattered clouds
239,Abilene,US,32.4487,-99.7331,73.62,77,20,1.01,few clouds
240,Lardos,GR,36.0942,28.0157,72.95,66,0,8.1,clear sky
241,Waingapu,ID,-9.6567,120.2641,86.14,55,59,7.76,broken clouds
242,Flinders,AU,-34.5833,150.8552,74.8,59,55,0.92,light rain
243,Mackay,AU,-21.15,149.2,91.69,42,0,10.36,clear sky
244,Mabaruma,GY,8.2,-59.7833,74.82,90,97,2.84,overcast clouds
245,Victoria,HK,22.2855,114.1577,89.04,79,51,5.01,broken clouds
246,Kenai,US,60.5544,-151.2583,43.03,72,90,13.8,overcast clouds
247,Kutum,SD,14.2,24.6667,74.26,25,0,6.87,clear sky
248,Olafsvik,IS,64.8945,-23.7142,44.06,87,100,26.49,overcast clouds
249,Lyuban,BY,52.7985,28.0048,43.09,74,100,7.38,overcast clouds
250,Quatre Cocos,MU,-20.2078,57.7625,72.09,75,87,12.08,light rain
